operation_date,y,x,group
2024-03-22,20.57903214,33.42954636,Linea 1
2024-03-23,20.46057848,33.36644099,Linea 1
2024-03-24,20.45014429,33.5018394,Linea 1
2024-03-25,20.96974026,34.221052,Linea 1
2024-03-26,21.04948044,34.26076365,Linea 1
2024-03-27,21.07683802,34.42721415,Linea 1
2024-03-28,21.10533418,34.21578047,Linea 1
2024-03-29,21.14723723,34.13073839,Linea 1
2024-03-30,21.24956274,34.31879807,Linea 1
2024-03-31,20.60117277,32.61358134,Linea 1
2023-08-01,20.11623075,33.67987336,Linea 2
2023-08-02,20.47294589,33.59096854,Linea 2
2023-08-15,20.04146099,34.32151794,Linea 2
2023-08-19,19.57302818,32.8839653,Linea 2
2023-08-20,19.48452961,33.25445533,Linea 2
2023-08-21,19.46890736,33.1705204,Linea 2
2023-08-22,19.69946823,33.34617004,Linea 2
2023-08-23,19.66173935,33.00481796,Linea 2
2023-08-24,19.58660854,33.44491092,Linea 2
2023-08-25,20.11821175,33.73350588,Linea 2
2023-08-26,20.01372189,33.44771745,Linea 2
2023-08-27,20.06682587,33.59553871,Linea 2
2023-08-28,19.65800892,33.34467732,Linea 2
2023-08-29,19.32661785,32.92818278,Linea 2
2023-08-30,17.96246529,33.55002975,Linea 2
2023-08-31,18.27850751,33.41051701,Linea 2
2023-09-01,19.06202401,33.69331614,Linea 2
2023-09-02,18.80402409,33.65031936,Linea 2
2023-09-03,19.32586531,33.59350413,Linea 2
2023-09-04,19.50413758,33.62423652,Linea 2
2023-09-05,19.72353808,33.69537057,Linea 2
2023-09-06,19.4865551,33.55142975,Linea 2
2023-09-07,20.01386528,33.75361023,Linea 2
2023-09-08,19.62117214,33.67473068,Linea 2
2023-09-09,19.18466741,33.14999424,Linea 2
2023-09-10,19.37634595,33.50566228,Linea 2
2023-09-11,19.48186255,33.55365896,Linea 2
2023-09-12,19.57441105,33.28833216,Linea 2
2023-09-13,19.16705084,33.37102556,Linea 2
2023-09-14,20.24155066,33.89494917,Linea 2
2023-09-15,20.15513573,33.83332024,Linea 2
2023-09-16,20.43437839,33.87719917,Linea 2
2023-09-17,20.33393828,33.88634491,Linea 2
2023-09-18,20.37033176,33.85535316,Linea 2
2023-09-19,19.53021884,33.59767008,Linea 2
2023-09-20,19.42245827,33.54243431,Linea 2
2023-09-21,19.5601526,33.68906294,Linea 2
2023-09-22,19.49716015,33.70602455,Linea 2
2023-09-23,19.55413229,33.08917999,Linea 2
2023-09-24,19.38336601,33.45602913,Linea 2
2023-09-25,19.22425356,33.47533894,Linea 2
2023-09-26,19.60139656,33.44775807,Linea 2
2023-09-27,19.98804196,33.88392882,Linea 2
2023-09-28,20.38128643,34.2915802,Linea 2
2023-09-29,20.3501481,34.21530999,Linea 2
2023-09-30,20.34764689,34.14079614,Linea 2
2023-10-01,20.2029171,33.86909442,Linea 2
2023-10-02,20.4295389,34.32592669,Linea 2
2023-10-03,20.12554779,34.05655365,Linea 2
2023-10-04,20.13836734,34.05090714,Linea 2
2023-10-05,19.62618217,33.75288849,Linea 2
2023-10-06,19.58674483,33.61916767,Linea 2
2023-10-07,19.48505688,33.37936147,Linea 2
2023-10-08,19.37027478,33.16400576,Linea 2
2023-10-09,19.5331361,33.62691607,Linea 2
2023-10-10,19.64318686,33.29917297,Linea 2
2023-10-11,19.77082426,33.40033549,Linea 2
2023-10-12,19.86455803,33.45340843,Linea 2
2023-10-13,19.5917743,33.33606741,Linea 2
2023-10-14,19.8490526,33.7542846,Linea 2
2023-10-15,19.94301397,33.28182533,Linea 2
2023-10-16,19.99334319,33.67680041,Linea 2
2023-10-17,20.14056611,33.93056822,Linea 2
2023-10-18,19.76138169,33.30613491,Linea 2
2023-10-19,19.72104558,33.1804116,Linea 2
2023-10-20,19.72178312,33.37332569,Linea 2
2023-10-21,19.78293451,33.3146108,Linea 2
2023-10-22,19.60253355,33.38289769,Linea 2
2023-10-23,19.69913979,33.36593399,Linea 2
2023-10-24,19.72644558,33.44727669,Linea 2
2023-10-25,19.73736413,33.20181804,Linea 2
2023-10-26,19.63651689,33.19412613,Linea 2
2023-10-27,20.06755395,33.36423527,Linea 2
2023-10-28,19.90860224,33.59799671,Linea 2
2023-10-30,19.61830902,33.04261017,Linea 2
2023-10-31,19.6762022,34.0389677,Linea 2
2023-11-01,19.71510172,33.83935881,Linea 2
2023-11-02,19.61030006,34.16133041,Linea 2
2023-11-03,19.94791641,34.30488625,Linea 2
2023-11-04,19.71951294,34.04870844,Linea 2
2023-11-05,19.4648035,33.38907204,Linea 2
2023-11-06,19.18343854,33.15245771,Linea 2
2023-11-07,19.75180414,33.34366481,Linea 2
2023-11-08,19.74013119,33.53813782,Linea 2
2023-11-09,19.24742444,33.33774948,Linea 2
2023-11-10,18.95829614,33.37968063,Linea 2
2023-11-11,19.47441639,33.61444889,Linea 2
2023-11-12,19.60830758,33.52633112,Linea 2
2023-11-13,19.62651253,33.65731648,Linea 2
2023-11-14,19.59599431,33.53635534,Linea 2
2023-11-15,19.70897166,33.81583956,Linea 2
2023-11-16,19.66089797,33.42967367,Linea 2
2023-11-17,20.48763218,33.72257023,Linea 2
2023-11-18,20.06334805,33.89735556,Linea 2
2023-11-19,20.50640233,34.03918669,Linea 2
2023-11-20,20.0438385,33.83659448,Linea 2
2023-11-21,20.3866239,33.77248279,Linea 2
2023-11-22,20.34887314,34.05738692,Linea 2
2023-11-23,20.53577042,33.73060989,Linea 2
2023-11-29,19.65199924,33.44658947,Linea 2
2023-11-30,19.58871007,33.5227809,Linea 2
2023-12-01,19.57681211,33.73772981,Linea 2
2023-12-02,19.64261055,33.47050603,Linea 2
2023-12-03,19.73211997,33.64191219,Linea 2
2023-12-04,18.9403038,33.16143799,Linea 2
2023-12-05,19.70924568,33.11331139,Linea 2
2023-12-06,19.92547872,33.70158641,Linea 2
2023-12-07,19.80820476,33.70901468,Linea 2
2023-12-08,19.92207265,33.56901264,Linea 2
2023-12-09,19.7987742,33.37489076,Linea 2
2023-12-10,19.76842674,33.46072928,Linea 2
2023-12-11,19.78053341,33.64704094,Linea 2
2023-12-12,20.30645287,33.92232013,Linea 2
2023-12-13,20.29399596,34.00673336,Linea 2
2023-12-14,20.60800467,34.28043232,Linea 2
2023-12-15,19.98271179,34.13444392,Linea 2
2023-12-16,19.86810684,33.5998867,Linea 2
2023-12-17,19.57113987,33.40000746,Linea 2
2023-12-18,19.30715457,33.81766302,Linea 2
2023-12-19,19.07492447,33.99886894,Linea 2
2023-12-20,21.15985298,34.15391731,Linea 2
2023-12-21,20.63708856,34.35793495,Linea 2
2023-12-22,20.22364087,34.11219491,Linea 2
2023-12-23,19.89169947,34.29723867,Linea 2
2024-01-02,19.94765997,34.29512358,Linea 2
2024-01-03,19.9986088,34.42813089,Linea 2
2024-01-04,20.01143055,34.30479622,Linea 2
2024-01-05,20.3893404,33.90062675,Linea 2
2024-01-06,20.30988855,33.7020546,Linea 2
2024-01-07,20.47011662,34.25464096,Linea 2
2024-01-08,20.3061142,34.61777666,Linea 2
2024-01-09,20.21438735,34.80416707,Linea 2
2024-01-10,21.01835465,34.60396242,Linea 2
2024-01-11,21.26929998,34.17515755,Linea 2
2024-01-12,21.31289434,34.16031933,Linea 2
2024-01-13,20.87136022,34.16384268,Linea 2
2024-01-14,20.69136,33.56987762,Linea 2
2024-01-15,20.77632866,34.00781326,Linea 2
2024-01-16,20.89047871,33.36461639,Linea 2
2024-01-17,20.81830788,33.28235881,Linea 2
2024-01-18,20.70532269,33.44618946,Linea 2
2024-01-19,20.9977684,33.37339147,Linea 2
2024-01-20,20.79399448,33.79342482,Linea 2
2024-01-21,20.67444166,33.80030017,Linea 2
2024-01-22,20.83501301,33.88565826,Linea 2
2024-01-23,20.42524123,33.38839769,Linea 2
2024-01-25,20.83902359,34.10981369,Linea 2
2024-01-26,20.70295895,33.3654516,Linea 2
2024-01-27,20.80652351,33.43870239,Linea 2
2024-01-28,20.72284603,33.22729301,Linea 2
2024-01-29,21.296507,34.57458496,Linea 2
2024-01-30,21.10394402,34.55945549,Linea 2
2024-01-31,21.05083847,33.69733365,Linea 2
2024-02-01,21.17727132,33.76780787,Linea 2
2024-02-02,21.03945625,33.535007,Linea 2
2024-02-03,21.10040838,33.45026294,Linea 2
2024-02-04,20.80105484,33.51220584,Linea 2
2024-02-05,20.84899311,33.61326866,Linea 2
2024-02-06,20.98464224,33.54671054,Linea 2
2024-02-07,20.90577453,33.47094127,Linea 2
2024-02-08,20.81859949,33.48055946,Linea 2
2024-02-09,21.16222121,33.61527044,Linea 2
2024-02-10,20.84971905,33.62641215,Linea 2
2024-02-11,21.03372637,33.6107555,Linea 2
2024-02-12,20.64786547,34.01196775,Linea 2
2024-02-13,20.94254494,33.81492653,Linea 2
2024-02-14,20.78335094,33.68549665,Linea 2
2024-02-15,20.809674,33.87498578,Linea 2
2024-02-16,20.9419437,33.55963431,Linea 2
2024-02-17,21.1712156,33.67368916,Linea 2
2024-02-18,21.14919069,33.74226888,Linea 2
2024-02-19,21.07431259,33.87283173,Linea 2
2024-02-20,20.73276138,33.68682194,Linea 2
2024-02-21,21.17234313,33.89191079,Linea 2
2024-02-22,20.86243269,33.53119914,Linea 2
2024-02-23,20.61293459,33.12486115,Linea 2
2024-02-24,20.70190578,33.5204862,Linea 2
2024-02-25,20.90001583,33.43737831,Linea 2
2024-02-26,21.01029438,33.71262063,Linea 2
2024-02-27,20.94959688,33.70519485,Linea 2
2024-02-29,20.90289211,33.37655973,Linea 2
2024-03-01,20.83327707,33.44916407,Linea 2
2024-03-02,21.11924314,33.70382595,Linea 2
2024-03-03,21.03792737,33.67040825,Linea 2
2024-03-04,20.9253547,33.5211948,Linea 2
2024-03-05,21.01577129,33.78239479,Linea 2
2024-03-06,20.53645099,34.31391525,Linea 2
2024-03-07,20.48730755,33.78495026,Linea 2
2024-03-08,21.90298104,33.9942627,Linea 2
2024-03-09,21.9517142,34.28758176,Linea 2
2024-03-10,21.07101655,33.59990835,Linea 2
2024-03-11,20.98211895,33.36626192,Linea 2
2024-03-12,21.25801325,33.24907923,Linea 2
2024-03-13,20.97639359,33.37002606,Linea 2
2024-03-14,20.55063968,33.44420878,Linea 2
2024-03-15,20.70582708,33.28349092,Linea 2
2024-03-16,20.88807127,33.32357915,Linea 2
2024-03-17,20.65606932,33.19706726,Linea 2
2024-03-18,20.70767231,33.20628395,Linea 2
2024-03-19,20.5785203,33.48478961,Linea 2
2024-03-20,20.46275732,33.474091,Linea 2
2024-03-21,20.4880579,33.45692711,Linea 2
2024-03-22,20.56646538,33.73325233,Linea 2
2024-03-23,20.40008842,33.63175646,Linea 2
2024-03-24,20.57700708,33.64864773,Linea 2
2024-03-25,20.72094984,34.21880989,Linea 2
2024-03-26,21.02659586,34.50471581,Linea 2
2024-03-27,21.52070045,34.47922096,Linea 2
2024-03-28,20.97590733,33.63211356,Linea 2
2024-03-29,20.56863525,33.21783933,Linea 2
2024-03-30,21.14702884,33.07636122,Linea 2
2024-03-31,21.15234947,32.82010727,Linea 2
